종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
069500,1,KODEX 200,41005,2,90,0.22,41021.0,-4.5715,3625791,148397,47135,국내 시장지수,KODEX,False,False,False
102110,1,TIGER 200,41030,2,100,0.24,41052.0,-4.5921,393463,16106,22382,국내 시장지수,TIGER,False,False,False
371460,4,TIGER 차이나전기차SOLACTIVE,17610,5,-340,-1.89,,31.5982,5201031,92473,21893,해외 주식,TIGER,False,False,False
252670,3,KODEX 200선물인버스2X,2090,5,-5,-0.24,2092.0,8.2687,156504906,328631,21345,국내 파생,KODEX,True,False,False
153130,6,KODEX 단기채권,102900,2,5,0.0,102898.0,0.0291,1611612,165818,21280,채권,KODEX,False,False,False
102780,2,KODEX 삼성그룹,10295,5,-25,-0.24,10307.0,3.3033,105050,1078,16853,국내 업종/테마,KODEX,False,False,False
122630,3,KODEX 레버리지,25540,2,100,0.39,25595.0,-9.321,14259586,362410,16448,국내 파생,KODEX,False,True,False
157450,6,TIGER 단기통안채,100305,2,5,0.0,100300.0,0.0648,1857,186,15734,채권,TIGER,False,False,False
214980,6,KODEX 단기채권PLUS,103200,5,-10,-0.01,103204.0,0.0533,3590,370,14638,채권,KODEX,False,False,False
273130,6,KODEX 종합채권(AA-이상)액티브,109310,5,-110,-0.1,109350.0,0.4775,3153,344,14061,채권,KODEX,False,False,False
292150,2,TIGER TOP10,13875,5,-20,-0.14,13898.0,-3.137,173947,2408,12710,국내 업종/테마,TIGER,False,False,False
278530,1,KODEX 200TR,13415,2,25,0.19,13434.0,-4.6297,20777,278,12174,국내 시장지수,KODEX,False,False,False
133690,4,TIGER 미국나스닥100,81555,5,-145,-0.18,,18.3269,140020,11392,11825,해외 주식,TIGER,False,False,False
114800,3,KODEX 인버스,3920,5,-10,-0.25,3926.0,4.244,36328234,142880,11419,국내 파생,KODEX,True,False,False
305720,2,KODEX 2차전지산업,22380,2,320,1.45,22458.0,21.6097,4099907,91479,10966,국내 업종/테마,KODEX,False,False,False
278540,1,KODEX MSCI Korea TR,13115,2,30,0.23,13154.0,-4.5936,404562,5299,10885,국내 시장지수,KODEX,False,False,False
